Date,Open,High,Low,Close,Adj Close,Volume
2023-07-20,16230.940430,16272.889648,16213.860352,16263.709961,16263.709961,3761770000
2023-07-21,16263.709961,16324.129883,16244.679688,16289.120117,16289.120117,3570190000
2023-07-24,16289.120117,16398.070313,16289.120117,16369.139648,16369.139648,3856250000
2023-07-25,16369.139648,16421.740234,16344.360352,16385.169922,16385.169922,3812470000
2023-07-26,16385.179688,16456.419922,16330.959961,16418.210938,16418.210938,3990290000
2023-07-27,16418.210938,16458.890625,16254.160156,16270.599609,16270.599609,4553210000
2023-07-28,16270.599609,16382.480469,16270.599609,16363.259766,16363.259766,3981010000
2023-07-31,16363.259766,16448.000000,16363.259766,16427.289063,16427.289063,4503600000
2023-08-01,16427.289063,16427.289063,16310.360352,16356.509766,16356.509766,4042370000
2023-08-02,16356.509766,16356.509766,16154.339844,16174.540039,16174.540039,4270710000
2023-08-03,16174.540039,16174.540039,16067.540039,16125.419922,16125.419922,4149120000
2023-08-04,16125.419922,16252.320313,16059.830078,16071.059570,16071.059570,4143310000
2023-08-07,16071.059570,16215.679688,16071.059570,16208.230469,16208.230469,3493920000
2023-08-08,16208.230469,16208.230469,16025.370117,16176.349609,16176.349609,3884910000
2023-08-09,16176.349609,16224.910156,16107.849609,16135.769531,16135.769531,3803100000
2023-08-10,16135.769531,16319.900391,16110.120117,16135.219727,16135.219727,4504370000
2023-08-11,16135.219727,16178.450195,16064.599609,16143.379883,16143.379883,3753290000
2023-08-14,16143.379883,16143.379883,16036.040039,16116.049805,16116.049805,3896410000
2023-08-15,16116.049805,16116.049805,15897.330078,15911.309570,15911.309570,3832250000
2023-08-16,15911.309570,15961.400391,15816.129883,15818.110352,15818.110352,3753910000
2023-08-17,15818.110352,15900.320313,15720.959961,15734.379883,15734.379883,3943700000
2023-08-18,15734.379883,15780.209961,15626.919922,15750.169922,15750.169922,3940400000
2023-08-21,15750.169922,15799.940430,15658.589844,15746.209961,15746.209961,3726850000
2023-08-22,15746.209961,15796.679688,15681.849609,15690.280273,15690.280273,3522760000
2023-08-23,15690.280273,15838.339844,15690.280273,15823.269531,15823.269531,3837270000
2023-08-24,15823.269531,15894.309570,15681.980469,15683.009766,15683.009766,3723470000
2023-08-25,15683.009766,15816.820313,15632.570313,15766.910156,15766.910156,3296180000
2023-08-28,15766.910156,15911.809570,15766.910156,15879.589844,15879.589844,2957230000
2023-08-29,15879.589844,16044.129883,15868.049805,16041.490234,16041.490234,3354820000
2023-08-30,16041.490234,16120.280273,16041.490234,16074.219727,16074.219727,3064110000
2023-08-31,16074.219727,16100.809570,15999.750000,16000.370117,16000.370117,3946360000
2023-09-01,16000.370117,16152.360352,16000.370117,16091.790039,16091.790039,3246260000
2023-09-05,16091.790039,16096.509766,15942.389648,15942.480469,15942.480469,3526250000
2023-09-06,15942.480469,15946.870117,15819.389648,15891.530273,15891.530273,3418850000
2023-09-07,15891.530273,15897.410156,15811.660156,15864.190430,15864.190430,3763760000
2023-09-08,15864.190430,15914.209961,15847.080078,15878.990234,15878.990234,3259290000
2023-09-11,15878.990234,15989.679688,15878.990234,15949.440430,15949.440430,3369920000
2023-09-12,15949.440430,16022.519531,15915.549805,15953.910156,15953.910156,3435740000
2023-09-13,15953.910156,15989.740234,15892.549805,15926.639648,15926.639648,3529430000
2023-09-14,15926.639648,16105.860352,15926.639648,16089.480469,16089.480469,3648720000
2023-09-15,16089.480469,16094.580078,15960.259766,15973.679688,15973.679688,6932230000
2023-09-18,15973.679688,15989.209961,15910.490234,15952.519531,15952.519531,3161230000
2023-09-19,15952.519531,15980.959961,15861.889648,15929.009766,15929.009766,3614880000
2023-09-20,15929.009766,16029.809570,15856.740234,15859.620117,15859.620117,3308450000
2023-09-21,15859.620117,15859.620117,15599.719727,15601.599609,15601.599609,3662340000
2023-09-22,15601.599609,15669.959961,15561.790039,15569.509766,15569.509766,3349570000
2023-09-25,15569.509766,15597.650391,15491.230469,15593.730469,15593.730469,3195650000
2023-09-26,15593.730469,15593.730469,15371.750000,15381.580078,15381.580078,3472340000
2023-09-27,15381.580078,15454.120117,15288.450195,15394.690430,15394.690430,3875880000
2023-09-28,15394.690430,15526.330078,15390.250000,15478.070313,15478.070313,3846230000
