Date;Open NYA;High NYA;Low NYA;Close NYA;Adj Close NYA; Volume NYA;Open IXIC;High IXIC;Low IXIC;Close IXIC;Adj Close IXIC;Volume IXIC;Open RUT;High RUT;Low RUT;Close RUT;Adj Close RUT;Volume RUT
Mar 8, 2023;15,439.02;15,496.92;15,367.46;15,440.64;15,440.64;3,535,570,000;11,553.09;11,601.23;11,487.75;11,576.00;11,576.00;5,085,970,000;1,880.27;1,886.54;1,866.07;1,879.48;1,879.48;3,535,570,000
Mar 7, 2023;15,694.34;15,694.34;15,413.54;15,439.02;15,439.02;3,922,500,000;11,670.98;11,705.96;11,512.03;11,530.33;11,530.33;5,422,820,000;1,899.24;1,902.11;1,875.79;1,878.72;1,878.72;3,922,500,000
Mar 6, 2023;15,721.06;15,772.65;15,672.11;15,694.34;15,694.34;4,000,870,000;11,736.87;11,827.92;11,667.48;11,675.74;11,675.74;4,982,880,000;1,928.08;1,928.70;1,892.46;1,899.76;1,899.76;4,000,870,000
Mar 3, 2023;15,524.52;15,732.72;15,524.52;15,721.06;15,721.06;4,084,730,000;11,524.65;11,699.63;11,514.74;11,689.01;11,689.01;5,102,210,000;1,906.46;1,931.72;1,901.98;1,928.26;1,928.26;4,084,730,000
Mar 2, 2023;15,436.30;15,555.09;15,342.71;15,524.52;15,524.52;4,244,900,000;11,273.77;11,487.59;11,273.61;11,462.98;11,462.98;5,313,760,000;1,888.43;1,905.35;1,877.58;1,902.66;1,902.66;4,244,900,000
Mar 1, 2023;15,428.97;15,477.92;15,378.12;15,436.30;15,436.30;4,249,480,000;11,447.58;11,479.00;11,349.87;11,379.48;11,379.48;4,927,530,000;1,896.14;1,904.44;1,888.73;1,898.43;1,898.43;4,249,480,000
Feb 28, 2023;15,492.93;15,518.78;15,427.21;15,428.97;15,428.97;5,043,400,000;11,451.05;11,548.23;11,435.39;11,455.54;11,455.54;5,340,950,000;1,896.70;1,913.18;1,896.44;1,896.99;1,896.99;5,043,400,000
Feb 27, 2023;15,464.46;15,623.25;15,462.80;15,492.93;15,492.93;3,836,950,000;11,517.19;11,565.23;11,444.60;11,466.98;11,466.98;4,494,000,000;1,902.00;1,914.60;1,891.89;1,896.27;1,896.27;3,836,950,000
Feb 24, 2023;15,584.93;15,584.93;15,347.28;15,464.46;15,464.46;3,877,700,000;11,404.18;11,434.36;11,334.47;11,394.94;11,394.94;4,432,650,000;1,891.38;1,891.62;1,875.81;1,890.49;1,890.49;3,877,700,000
Feb 23, 2023;15,530.83;15,654.95;15,446.08;15,584.93;15,584.93;3,952,940,000;11,636.93;11,638.98;11,432.58;11,590.40;11,590.40;4,714,580,000;1,902.72;1,915.31;1,884.31;1,908.09;1,908.09;3,952,940,000
Feb 22, 2023;15,572.52;15,623.20;15,490.18;15,530.83;15,530.83;4,079,320,000;11,517.20;11,582.52;11,445.17;11,507.07;11,507.07;4,671,270,000;1,890.83;1,904.48;1,885.11;1,894.68;1,894.68;4,079,320,000
Feb 21, 2023;15,840.16;15,840.16;15,551.91;15,572.52;15,572.52;4,121,590,000;11,640.37;11,684.14;11,491.18;11,492.30;11,492.30;5,002,540,000;1,937.05;1,937.05;1,888.21;1,888.21;1,888.21;4,121,590,000
Feb 17, 2023;15,873.78;15,873.78;15,732.77;15,840.16;15,840.16;4,045,480,000;11,777.50;11,803.22;11,673.21;11,787.27;11,787.27;4,925,230,000;1,943.64;1,947.85;1,928.39;1,946.36;1,946.36;4,045,480,000
Feb 16, 2023;16,016.09;16,016.09;15,829.69;15,873.78;15,873.78;4,143,660,000;11,896.31;12,040.34;11,853.36;11,855.83;11,855.83;5,159,410,000;1,946.05;1,962.46;1,933.14;1,942.21;1,942.21;4,143,660,000
Feb 15, 2023;16,025.11;16,025.11;15,875.35;16,016.09;16,016.09;4,075,980,000;11,905.12;12,071.29;11,876.82;12,070.59;12,070.59;5,056,640,000;1,929.73;1,960.97;1,924.91;1,960.97;1,960.97;4,075,980,000
Feb 14, 2023;16,052.25;16,131.75;15,917.98;16,025.11;16,025.11;3,929,200,000;11,808.20;11,999.85;11,760.56;11,960.15;11,960.15;5,032,430,000;1,933.90;1,951.98;1,920.50;1,939.91;1,939.91;3,929,200,000
Feb 13, 2023;15,910.69;16,052.85;15,908.87;16,052.25;16,052.25;3,448,620,000;11,759.09;11,910.92;11,719.73;11,891.79;11,891.79;4,752,880,000;1,919.89;1,942.70;1,913.60;1,941.14;1,941.14;3,448,620,000
Feb 10, 2023;15,828.60;15,922.95;15,787.25;15,910.69;15,910.69;3,891,520,000;11,714.60;11,775.80;11,630.54;11,718.12;11,718.12;4,885,030,000;1,910.66;1,920.85;1,903.72;1,918.81;1,918.81;3,891,520,000
Feb 9, 2023;15,934.72;16,077.05;15,796.48;15,828.60;15,828.60;4,270,200,000;12,069.10;12,070.96;11,745.11;11,789.58;11,789.58;5,536,290,000;1,954.88;1,963.85;1,912.24;1,915.34;1,915.34;4,270,200,000
Feb 8, 2023;16,021.62;16,026.55;15,916.71;15,934.72;15,934.72;4,029,820,000;12,069.12;12,096.39;11,890.09;11,910.52;11,910.52;5,052,870,000;1,964.89;1,968.92;1,940.29;1,942.60;1,942.60;4,029,820,000
Feb 7, 2023;15,895.36;16,056.39;15,800.64;16,021.62;16,021.62;4,355,860,000;11,891.25;12,150.22;11,836.78;12,113.79;12,113.79;5,720,240,000;1,952.65;1,975.83;1,936.33;1,972.61;1,972.61;4,355,860,000
Feb 6, 2023;15,999.40;15,999.40;15,814.49;15,895.36;15,895.36;4,114,240,000;11,904.41;11,973.41;11,843.49;11,887.45;11,887.45;5,538,350,000;1,976.09;1,976.09;1,952.19;1,957.72;1,957.72;4,114,240,000
Feb 3, 2023;16,122.58;16,122.58;15,953.48;15,999.40;15,999.40;4,694,510,000;11,946.86;12,231.31;11,946.86;12,006.95;12,006.95;5,954,490,000;1,989.12;2,005.55;1,976.06;1,985.53;1,985.53;4,694,510,000
Feb 2, 2023;16,121.25;16,178.56;16,035.54;16,122.58;16,122.58;5,624,360,000;12,065.15;12,269.55;12,024.14;12,200.82;12,200.82;7,038,210,000;1,968.03;2,007.31;1,968.03;2,001.22;2,001.22;5,624,360,000
Feb 1, 2023;16,036.39;16,222.20;15,871.07;16,121.25;16,121.25;4,856,930,000;11,573.14;11,904.02;11,500.33;11,816.32;11,816.32;6,336,040,000;1,929.47;1,976.87;1,921.52;1,960.81;1,960.81;4,856,930,000
Jan 31, 2023;15,818.90;16,036.99;15,809.66;16,036.39;16,036.39;4,679,320,000;11,398.58;11,586.01;11,398.37;11,584.55;11,584.55;5,695,150,000;1,888.83;1,931.95;1,888.83;1,931.94;1,931.94;4,679,320,000
Jan 30, 2023;15,962.58;15,974.40;15,813.23;15,818.90;15,818.90;3,802,000,000;11,512.34;11,553.31;11,388.54;11,393.81;11,393.81;5,122,320,000;1,903.10;1,909.34;1,885.43;1,885.72;1,885.72;3,802,000,000
Jan 27, 2023;15,985.87;16,032.12;15,901.17;15,962.58;15,962.58;3,907,760,000;11,470.47;11,691.89;11,470.27;11,621.71;11,621.71;6,243,800,000;1,899.82;1,918.59;1,896.24;1,911.46;1,911.46;3,907,760,000
Jan 26, 2023;15,889.27;15,988.27;15,840.84;15,985.87;15,985.87;3,809,590,000;11,458.40;11,516.05;11,341.19;11,512.41;11,512.41;5,732,890,000;1,899.88;1,909.42;1,882.71;1,903.06;1,903.06;3,809,590,000
Jan 25, 2023;15,868.22;15,893.31;15,681.80;15,889.27;15,889.27;3,724,020,000;11,146.53;11,334.22;11,069.18;11,313.36;11,313.36;5,485,570,000;1,873.62;1,890.73;1,858.99;1,890.32;1,890.32;3,724,020,000
Jan 24, 2023;15,880.09;15,892.66;15,752.49;15,868.22;15,868.22;3,320,430,000;11,302.93;11,378.15;11,282.65;11,334.27;11,334.27;5,670,860,000;1,887.81;1,892.71;1,878.33;1,885.61;1,885.61;3,320,430,000
Jan 23, 2023;15,777.55;15,940.90;15,756.78;15,880.09;15,880.09;3,945,210,000;11,171.94;11,405.50;11,144.03;11,364.41;11,364.41;5,997,810,000;1,868.96;1,896.20;1,867.49;1,890.77;1,890.77;3,945,210,000
Jan 20, 2023;15,569.63;15,777.55;15,538.21;15,777.55;15,777.55;4,013,360,000;10,924.66;11,143.17;10,885.65;11,140.43;11,140.43;5,980,110,000;1,847.68;1,867.34;1,836.63;1,867.34;1,867.34;4,013,360,000
Jan 19, 2023;15,649.13;15,649.13;15,504.07;15,569.63;15,569.63;3,991,500,000;10,890.40;10,932.52;10,804.57;10,852.27;10,852.27;4,660,800,000;1,846.35;1,846.35;1,825.58;1,836.35;1,836.35;3,991,500,000
Jan 18, 2023;15,883.56;15,965.25;15,644.45;15,649.13;15,649.13;4,298,710,000;11,170.95;11,223.41;10,952.05;10,957.01;10,957.01;5,288,630,000;1,890.09;1,903.87;1,854.32;1,854.36;1,854.36;4,298,710,000
Jan 17, 2023;15,918.37;15,973.29;15,871.25;15,883.56;15,883.56;4,235,560,000;11,070.00;11,145.44;11,024.72;11,095.11;11,095.11;5,138,410,000;1,886.64;1,892.42;1,880.74;1,884.29;1,884.29;4,235,560,000
